Date,Open,High,Low,Close,Volume,Ticker,Year-Month
3/15/21,2062.3,2067.06,2043.51,2066.49,1298325,GOOG,2021-3
3/16/21,2078.99,2123.56,2070,2092.52,1491564,GOOG,2021-3
3/17/21,2076.03,2109.78,2054,2091.08,1299016,GOOG,2021-3
3/18/21,2061,2075.5,2033.55,2036.22,1362430,GOOG,2021-3
3/19/21,2042.05,2053.1,2017.68,2043.2,2314893,GOOG,2021-3
3/22/21,2041.84,2057.99,2026.07,2038.59,1954816,GOOG,2021-3
3/23/21,2051.7,2072.3,2039.22,2052.96,1366997,GOOG,2021-3
3/24/21,2065.37,2078.21,2041.56,2045.06,1154029,GOOG,2021-3
3/25/21,2044.81,2058.87,2010.73,2044.36,1418907,GOOG,2021-3
3/26/21,2038.86,2050.99,2014.02,2035.55,1493800,GOOG,2021-3
3/29/21,2027.88,2058.43,2015.62,2055.95,1229777,GOOG,2021-3
3/30/21,2057.63,2070.78,2044.03,2055.54,1036774,GOOG,2021-3
3/31/21,2059.12,2093.33,2056.75,2068.63,1459930,GOOG,2021-3
3/1/21,235.9,237.47,233.15,236.94,25332837,MSFT,2021-3
3/2/21,237.01,237.3,233.45,233.87,22812459,MSFT,2021-3
3/3/21,232.16,233.58,227.26,227.56,34029526,MSFT,2021-3
3/4/21,226.74,232.49,224.26,226.73,44727785,MSFT,2021-3
3/5/21,229.52,233.27,226.46,231.6,41872770,MSFT,2021-3
3/8/21,231.37,233.37,227.13,227.39,35267440,MSFT,2021-3
3/9/21,232.88,235.38,231.67,233.78,33080531,MSFT,2021-3
3/10/21,237,237,232.04,232.42,29746812,MSFT,2021-3
3/11/21,234.96,239.17,234.31,237.13,29907586,MSFT,2021-3
3/12/21,234.01,235.82,233.23,235.75,22653662,MSFT,2021-3
3/15/21,234.96,235.19,231.81,234.81,26042669,MSFT,2021-3
3/16/21,236.28,240.06,235.94,237.71,28092196,MSFT,2021-3
3/17/21,236.15,238.55,233.23,237.04,29562100,MSFT,2021-3
3/18/21,232.56,234.19,230.33,230.72,34852251,MSFT,2021-3
3/19/21,231.02,232.47,229.35,230.35,46430730,MSFT,2021-3
3/22/21,230.27,236.9,230.14,235.99,30127005,MSFT,2021-3
3/23/21,237.49,241.05,237.07,237.58,31638376,MSFT,2021-3
3/24/21,237.85,238,235.32,235.46,25620127,MSFT,2021-3
3/25/21,235.3,236.94,231.57,232.34,34061853,MSFT,2021-3
3/26/21,231.55,236.71,231.55,236.48,25479853,MSFT,2021-3
3/29/21,236.59,236.8,231.88,235.24,25227455,MSFT,2021-3
3/30/21,233.53,233.85,231.1,231.85,24792012,MSFT,2021-3
3/31/21,232.91,239.1,232.39,235.77,43623471,MSFT,2021-3
3/1/21,690.11,872,685.05,718.43,27136239,TSLA,2021-3
3/2/21,718.28,721.11,685,686.44,23732158,TSLA,2021-3
3/3/21,687.99,700.7,651.71,653.2,30207960,TSLA,2021-3
3/4/21,655.8,873.94,600,621.44,65919530,TSLA,2021-3
3/5/21,626.06,627.84,539.49,597.95,89396459,TSLA,2021-3
3/8/21,600.55,620.13,558.79,563,51786958,TSLA,2021-3
3/9/21,608.18,678.09,595.21,673.58,67523328,TSLA,2021-3
3/10/21,700.3,717.85,655.06,668.06,60605672,TSLA,2021-3
3/11/21,699.4,702.5,677.18,699.6,36253892,TSLA,2021-3
3/12/21,670,694.88,666.14,693.73,33583840,TSLA,2021-3
3/15/21,694.09,713.18,684.04,707.94,29423479,TSLA,2021-3
3/16/21,703.35,707.92,671,676.88,32195672,TSLA,2021-3
3/17/21,656.87,703.73,651.01,701.81,40372453,TSLA,2021-3
3/18/21,684.29,689.23,652,653.16,33369022,TSLA,2021-3
3/19/21,646.6,657.23,624.62,654.87,42893978,TSLA,2021-3
3/22/21,684.59,699.62,668.75,670,39512221,TSLA,2021-3
3/23/21,675.77,677.8,657.51,662.16,30491870,TSLA,2021-3
3/24/21,667.91,668.02,630.11,630.27,33795174,TSLA,2021-3
